,Name_of_Project,Description,Structural_sbard,Vague_both,Anaphoric_taphsir
482,1999_multi_mahjong,"When a user wishes to join a multi player game, they must: 1- Enter their name. 2- Choose an icon from a predetermined list. 3- Choose which of the available games they wish to join.",1,1,1
483,1999_multi_mahjong,The MultiMahjongClient must send this join information to the MultiMahjongServer.,1,0,0
484,1999_multi_mahjong,"In a multi player game, each MultiMahjongClient must retrieve the following data from the MultiMahjongServer: 1- Whether it must support a CO. 2- The score limit for a hand. 3- All players' names, icons and seating positions. 4- The tiles of the human and CO (optional) player supported on the MultiMahjongClient.",1,0,1
485,1999_multi_mahjong,The list of un-started games that the MultiMahjongClient fetches from the MultiMahjongServer will be displayed in such a way that users can see the following information about each game: 1- The name and icon of the player who created the game. 2- The score limit for winning a hand. 3- The number of places that still need to be filled before the game can commence.,1,0,0
486,1999_multi_mahjong,The MultiMahjongClient will save the user preferences in a file and read them in when the program begins.,1,0,1
487,1999_multi_mahjong,"Users who create a new game will be able to change the ability level of any CO involved in the game. There will be 3 levels available: Beginner, Intermediate and Advanced.",1,1,0
488,1999_multi_mahjong,Users who create a new game will be able to choose to play different variations of Mahjong rules other than those described in Section 4.3.1. The variations will include the Cleared Hand variation and the Japanese variation (see the rulebook for more detail).,1,1,0
489,1999_multi_mahjong,"Any user who creates or joins a game will be able to upload their own JPEG or GIF image that they wish to have displayed above their name, if they do not wish to use a preset icon.",1,0,1
490,1999_multi_mahjong,"The MultiMahjongClient must only allow players to make moves according to the Chinese rules of Mahjong as described in the rulebook, ""How to Play Mah Jong"".",1,1,0
491,1999_multi_mahjong,The MultiMahjongClient will inform the user whose turn it is to pick up a tile.,1,0,1
492,1999_multi_mahjong,The MultiMahjongClient will retrieve other players' changes in the game situation from the MultiMahjongServer. The user's screen is then updated to display these changes. The following game changes are displayed: 1- Another player picks up a tile from the wall. 2- Another player exposes/reveals a set of tiles. 3- Another player discards a tile.,1,0,0
493,1999_multi_mahjong,"If the configurations of: the current discard, the tiles in a user's hand, and the player whose turn it is, would allow the user to Chow/Pung/Kong/Mahjong under the Chinese rules of Mahjong, the MultiMahjongClient will inform the user that they can do so. If they choose to take this action, then the MultiMahjongClient must send this information to the MultiMahjongServer.",1,0,0
494,1999_multi_mahjong,"User's will be able to pick up a tile from the wall if it is their turn. If they choose to pick up, the MultiMahjongClient must send this information to the MultiMahjongServer.",1,0,1
495,1999_multi_mahjong,"User's will be able to discard a tile if they have picked one up. When they choose to discard, the MultiMahjongClient must send this information to the MultiMahjongServer.",1,0,1
496,1999_multi_mahjong,The MultiMahjongClient must inform the user if another player is fishing.,1,0,0
497,1999_multi_mahjong,The MultiMahjongClient must inform the user if another player goes Mahjong. The wind of the round is also updated (if required).,0,1,0
500,1999_multi_mahjong,The MultiMahjongClient will play sound effects associated with certain game actions.,0,1,0
501,1999_multi_mahjong,Users will be able to turn the sound on or off at any stage during the game.,1,1,0
502,1999_multi_mahjong,Users will have access to the User's Documentation online at any stage during the game.,1,0,0
505,1999_multi_mahjong,User's will be able to Undo their last move if playing in single player mode.,1,0,1
506,1999_multi_mahjong,User's will be able to Save their game if playing in single player mode.,1,0,1
507,1999_multi_mahjong,User's will be able to chat with each other in real time.,1,0,0
510,1999_multi_mahjong,The user will be able to end the game at any stage of the game. ,1,0,0
511,1999_multi_mahjong,The MultiMahjongServer will inform all MultiMahjongClients connected to the game that the game has ended. Users of any MultiMahjongClient previously connected to the game will have the choice to quit the program or to begin/join a new game.,1,0,0
512,1999_multi_mahjong,"If a user leaves the game prematurely, a new CO is created on another user's machine to fill their place. This CO will take over the user's current position and circumstance within the game. This CO will play at an ability level as defined in the Level 2 Requirements for the CO (see Section 4.5.6).",1,0,1
513,1999_multi_mahjong,"If a user leaves the game prematurely, a new CO is created on another user's machine to fill their place. The user who created the game will decide at what level (see Section 4.5.8) the CO will play at.",1,0,1
515,1999_multi_mahjong,The CO will not have access to the data containing the faces of any tiles in the wall or any concealed tiles in any other players' hands.,1,0,0
516,1999_multi_mahjong,The CO will have access to the number of tiles in the wall or in a player's hand.,1,0,0
517,1999_multi_mahjong,The CO will be able to read any player's exposed or revealed hands.,1,0,0
518,1999_multi_mahjong,"The CO will be able to pick up tiles off the wall, discard tiles, reveal Kongs, and Chow/Pung/Kong/Mahjong.",1,0,0
520,1999_multi_mahjong,"The CO will be able to recognise ""almost finished"" sets of tiles (i.e. 2 tiles in a sequence is an almost finished Chow) and will not discard tiles in such sets. This is to give the CO a basic level of strategy.",1,0,0
521,1999_multi_mahjong,"The CO will be able to play at 3 different ability levels: Beginner, Intermediate and Advanced.",0,1,0
522,1999_multi_mahjong,The CO will be able to perform look ahead algorithms to determine its best move in the Intermediate and Advanced levels.,1,1,1
524,1999_multi_mahjong,The CO will be able to play any version of the rules that are specified by the user who creates the game.,1,0,0
525,1999_multi_mahjong,There will be CO's of different playing styles that the user can choose from.,1,1,0
526,1999_multi_mahjong,The potential users of the MultiMahjongClient product will be anyone who enjoys playing or is interested in the game of Mahjong.,1,0,0
527,1999_multi_mahjong,"The product is aimed at users who have a basic knowledge how to operate a PC, Macintosh or Unix box (see Section 5.3.1).",1,0,0
528,1999_multi_mahjong,"Users who wish to play multi player Mahjong will not need to have advanced knowledge of TCP/IP networking. It is assumed however, that the computer has been configured correctly to connect to a TCP/IP network.",1,1,0
529,1999_multi_mahjong,"Prior knowledge of Mahjong rules is not necessary, as the product will be designed for both players with some or no experience.",1,1,0
530,1999_multi_mahjong,The user of the MultiMahjongServer will most likely have general knowledge of a Web Server environment.,0,1,0
531,1999_multi_mahjong,The user will need to know how to set-up and operate a TCP/IP server.,1,0,0
532,1999_multi_mahjong,The user will understand the basic principles of networking and know any networking information associated with the server the MultiMahjongServer program is run on (hostname and IP address).,1,0,0
535,1999_multi_mahjong,An option to access the online troubleshooting guide (Section 7.2.4) is included in the error dialogue box.,1,0,0
537,1999_multi_mahjong,The only option to the user is to quit the game. All processes will be cleaned up (if possible) and the program execution will terminate.,0,1,0
539,1999_multi_mahjong,The coding standard will be the same as that suggested by Sun Microsystems. This document is available in PDF in our repository at: MultiMahjong/doc/SQAP/CodeConventions.pdf or online at: ftp://ftp.javasoft.com/docs/codeconv/CodeConventions.pdf,1,1,1
541,1999_multi_mahjong,The software will run on any machine that is capable of running a Java Virtual Machine that supports JDK 1.2 (see Section 5.3). These machines include: 1- A PC operated under Windows 95/98/NT 2- A Macintosh operated under OS 3- A Unix box operated under Solaris 2.6 or Solaris 7.,1,1,0
542,1999_multi_mahjong,"The minimum system requirements for the product to operate under are: 1- 100 MHz processor 2- 32 Mb of RAM 3- 10 MB of uncompressed hard disk 4- 16-bit video card with minimum resolution of 800 x 600  5- 28.8 Kbps modem and a TCP/IP connection to the Internet, or a TCP/IP LAN connection. For multi player game only.",1,1,0
543,1999_multi_mahjong,The CO must respond within 1 minute in both single and multi player modes.,1,1,0
544,1999_multi_mahjong,The MultiMahjongServer must be able to handle requests in multi player mode of up to 10 simultaneous games (max 40 players).,1,0,0
545,1999_multi_mahjong,The MultiMahjongClient must be able to calculate possible Chow/Pung/Kong/Mahjong moves (see Section 4.3.4) within 5 seconds of being informed of the last discard.,1,1,0
546,1999_multi_mahjong,The MultiMahjongServer will have no graphical user interface and will be run using a command prompt.,0,1,0
547,1999_multi_mahjong,The MultiMahjongServer will have a graphical user interface with which the administrator of the server can get log information and change game settings. No requirements for this graphical user interface are set in this document.,1,0,0
548,1999_multi_mahjong,"An administrator's manual, explaining how to install and operate the MultiMahjongServer, will be provided.",1,1,0
549,1999_multi_mahjong,This manual will be provided as an electronic file.,0,1,0
550,1999_multi_mahjong,The manual will contain the following sections: 1- How to install the MultiMahjongServer program. 2- The background knowledge the administrator must have in order to set-up and operate the MultiMahjongServer program. 3- How to configure the TCP/IP server the administrator is using to run the MultiMahjongServer program. 4- Troubleshooting guide for any problems the administrator may encounter during setup,1,0,0
551,1999_multi_mahjong,"A section added to the manual which details some technical information on the MultiMahjong product, including: 1- The languages we used to write the MultiMahjong product and a history of how it developed. 2- A brief description of how the MultiMahjongServer and MultiMahjongClients interact.",1,1,1
552,1999_multi_mahjong,The administrator's manual will also be viewable from within the MultiMahjongServer program.,0,1,0
554,1999_multi_mahjong,"A user's manual, explaining how to install and operate the MultiMahjongClient, will be provided.",1,1,0
555,1999_multi_mahjong,This manual will be provided in both a hard copy book and an electronic file.,0,1,0
556,1999_multi_mahjong,The manual will contain the following sections: 1- How to install the MultiMahjongClient program. 2- How to begin a single/multi player game or join a multi player game (see Section 4.2) 3. How to play a game of MultiMahjong (which describes the rules and scoring in a game of Chinese Mahjong).  4- An explanation of what all parts of the GUI do (see Section 6.3) and how to use them. 5- Troubleshooting guide,1,0,1
557,1999_multi_mahjong,The user's manual will also be viewable from within the MultiMahjongClient program.,0,1,0
558,1999_multi_mahjong,All design documentation and coding documentation will be maintained thoroughly during the project and delivered to the client.,1,0,0
559,1999_multi_mahjong,"This documentation will be available in electronic files, and, with the exception of source code, in hard copy format.",0,1,0
561,1999_multi_mahjong,The source code will be provided in hard copy format.,0,1,0
562,2005_pontis,"The user shall be able to view all data from any two inspections, for a single bridge, in a tiled14 presentation for easy comparison.",1,1,0
563,2005_pontis,"The user shall be able to select structures by structure ID, district, county, administrative area (geographic group), ownership, custodianship, functional class, NHS status, on/off system, inspector, bridge group, inspection due dates, and all or some environment and elements. The query shall be restricted depending on the user privilege. ",1,0,0
564,2005_pontis,"The system shall eliminate any and all dependencies on workstation (user) control/parameter files for program operation. For example, parameter information required by the NBI Translator (including information currently stored in ELEMENTS.PRN and ERRORS.LST) will be stored strictly within the Pontis database rather than on individual user workstations.",1,0,0
565,2005_pontis,The system will accommodate XP directory security and file permissions when storing any configuration or session parameters.,1,0,0
568,tachonet,FUN-01 The system must allow a member of the network to send requests to a particular or all the other members about possible delivery of a driver’s smart card to a similar person.,1,1,0
569,tachonet,FUN-02 The system must allow a member of the network to send a bulk request on all or a large part of its driver’s smart card holders to a particular or all members of the network.,1,1,1
570,tachonet,FUN-03 The system must allow a member to do statistics on messages issued and received from/to his system.,1,0,1
571,tachonet,FUN-04  The system must provide automatic reply to the sender of the request through the use of a standard interface to the Members systems.,1,0,0
572,tachonet,FUN-05 The system must track the workflow between senders and related replies.,1,0,0
573,tachonet,"FUN-06 The system must be able, in accordance with the rules on delays for each transaction, to automatically transmit alert messages to senders/replier/administrator when, f.i. a constraint on delay for reply is not fulfilled.",1,0,0
574,tachonet,"FUN-07 The system must allow the administrator to extract statistics of use, standard delay of reply by member/period, percentage of unsuccessful transaction,... .",1,0,0
576,tachonet,"FUN-09 The system must be able to define and manage various type of messages already in the driver’s smart card holder like pre- delivery check, stolen/lost cards, renewals, exchanges and duplicates.",1,1,0
577,tachonet,FUN-10 The system must be able to include new members in the network through simple administrative tasks.,1,1,0
578,tachonet,FUN-11 The system must be highly automatic to relieve the users of as many repetitive and tedious tasks as possible.,1,1,0
579,tachonet,FUN-12 The system must provide at application level a full security (including non repudiation) and encryption policy compatible with the level of security required in such situation.,1,1,0
581,tachonet,"FUN-14  The system must allow a Member State (through its Card Issuing Authority) to ask for the status of card (lost, stolen,…) to the corresponding Card Issuing Authority of the Member State having issued the card.",1,0,1
582,tachonet,"FUN-15  The system must allow a Member State (through its Card Issuing Authority) to send card status modification requests (lost, stolen,…) to the corresponding Card Issuing Authority of the Member State having issued the card.",1,0,1
583,tachonet,"FUN-16 The system must allow enforcement authorities (through its Card Issuing Authority) to ask for driver’s card status (based on either card number + issuing Member State code or driver’s surname, first names, date of birth and issuing Member State code) to the corresponding Card Issuing Authority of the Member State having issued the card.",1,0,1
584,tachonet,FUN-17 The system must allow enforcement authorities (through its Card Issuing Authority) to ask for workshop card status (based on workshop card number + issuing Member State code) to the corresponding Card Issuing Authority of the Member State having issued the card.,1,0,1
585,tachonet,USA-01 The system must guide users through an interface based on end user concepts.,1,0,0
586,tachonet,USA-02 The system must be easy to learn and does not obstruct the thematic understanding of the users.,0,1,0
587,tachonet,USA-03  The system must make it easy to correct mistakes.,0,1,1
588,tachonet,REL-01 The system is to be designed as a robust and dependable operational system which is tolerant to operator errors and which will recover cleanly from power cuts or other disasters.,1,1,0
589,tachonet,"REL-02  The system must function reliably, with few or no interruptions in its first operational year and fewer still thereafter.",1,1,1
591,tachonet,PER-01  The system should be able to cover more than one contact point per country depending on the administrative organisation adopted by each country and able to work in a multi hierarchical environment. This is no longer the case since everybody agrees upon having a single point of contact per Member State (even though the Member State is organized with several Card Issuing Authorities – up to the Member State to manage its own organisation).,1,1,1
592,tachonet,PER-02  There will be no restriction in time or place for the use of the software built from the specifications produced under this contract.,1,1,0
593,tachonet,PER-03  The system must be able to establish and keep the dialog with the Members systems despite the various technical environments and technologies used on their sites.,0,1,1
595,tachonet,PER-05 The system will be used 24x7 by operators under pressure to produce results rapidly. The system must respond rapidly to user requests irrespective of any background tasks. Such high- availability (24x7) is also required from the Member States systems to ensure acceptable response time (less than 1 minute) to enforcement authorities requests.,1,1,0
596,tachonet,SUP-01 The system should be able to support other types of message structure to cover f.i. a future driving licence network and correlated activities.,1,0,0
598,tachonet,SUP-03  The system must be designed so that it can migrate to upgraded hardware or new versions of the operating systems involved.,1,0,1
599,tachonet,SUP-04 The system must be able to migrate to other type of network than the one proposed by TESTA-II.,1,0,0
600,tachonet,"SUP-05 The system must provide solutions/rules regarding data encoding problems such as supporting different character sets, name truncation rules, name matching in case of misspelling,...",1,0,0
601,tachonet,DES-01  The system must be designed and documented with the expectation that its operational lifetime will be many years.,1,0,1
602,tachonet,DES-02  Each Member of this network will organise its data about smart card holders with no constraints or recommendations on operating system and/or technology used. The system will be able to dialog with these environments or specify a generic interface to dialog with the Member’s applications.,1,1,1
603,tachonet,INT-01 The system must use the network facilities supplied by the TESTA-II network.,1,0,0
604,tachonet,INT-02  The algorithms in the software will be based on existing techniques and no research will be required to develop new algorithms under this contract.,1,0,0
605,tachonet,INT-03 Most of the functionality of the new software shall depend on pre-existing or commercially available software.,1,1,0
606,2005_pontis,"1.6 The user shall be able to select a structure by directly typing in the structure ID in GUI, with the display scrolling to that structure. Bridge-level security of the user shall be applied automatically.",1,0,0
607,2005_pontis,1.7 The system shall display the data in the appropriate unit of measurement as configured for the application. This will be a permanent modal setting for the application. This setting shall be configurable (as stipulated in Requirement 22.1).,1,1,0
608,2005_pontis,2.6 The user shall be able to enter a WHERE clause of the SQL query in the Find and the Filter window and run a query against the projects in the database. The query will be verified by the application and SQL errors will be reported to the user for correction. This capability shall be an application privilege. Bridge-level security of the user shall be applied automatically.,1,1,0
609,2005_pontis,"2.7 The user shall be able to select a project by directly typing in the project ID in the GUI, with the display scrolling to that structure. Bridge or project level security of the user shall be applied automatically.",1,0,0
610,2005_pontis,3.2 The user shall be able to create reports in a .NET compliant report generator other than InfoMaker and review these reports from within the Pontis GUI.,1,0,0
611,2005_pontis,4.1 The system shall provide the ability to create any report that is bridge or project based by selecting the relevant “driver” records from a map display.,1,1,0
612,2005_pontis,5.7 The user shall be able to renumber the bridge key identifier and have the change made globally. This functionality shall be restricted depending on the user privilege.,1,0,0
614,2005_pontis,6.17 The system shall provide an inspection scheduling tool.13(13 Range of functionality is still to be determined. This requirement depends on consensus on the scheduling capability.),1,1,0
615,2005_pontis,6.19 Privileged users shall be able to delete an existing inspection unless it is “locked down”.,1,1,1
616,2005_pontis,6.22 The system shall provide a configurable tracking mechanism to ensure that a set of screens and data fields have been reviewed and approved during the course of an inspection.,1,0,0
617,2005_pontis,"7.7 The system administrator shall be able to configure the recalculation behavior of the derived data. The options shall include 1) do nothing, 2) alert user that recalculation is required and give option to recalculate before update/save, and 3) recalculate silently with no confirmation prompt when user saves the inspection.",1,1,0
618,2005_pontis,"12.3 The system shall provide a Bridge Analysis Dashboard that will allow the user to choose work items for a structure and the timing of the work, view the impact of the work on the condition of the structure, assign the work candidates to a project, and perform life-cycle cost analysis for the structure.",1,0,0
619,2005_pontis,15.4 The system shall allow users to configure data validation rules. This shall be a privileged operation.,1,0,0
620,2005_pontis,21.6 The system shall be capable of initiating a session without a login prompt. This capability will provide support for an independent launch shell for Pontis and will be configured by the system administrator.21,1,1,0
621,2005_pontis,"22.1 The administrator shall be able to configure the system units of measure in either English or metric mode. This will be a permanent setting for the application and database. (Data exchange operations will still support conversion, and the NBI tape will continue to be created in metric format only subject to NBIS reporting standards change at the Federal level.)",1,1,0
622,2005_pontis,22.4 The administrator shall be able to edit the DATADICT table or its successor(s) through a GUI window.,1,0,1
623,2005_pontis,"21.7 The system shall be capable of integrating authentication and permissions with BRIDGEWare. Note that this requirement implies that corresponding development work will be performed for Virtis/Opis. Where feasible, costs should be minimized by utilizing existing functionality.",0,1,0
624,2005_pontis,21.8 The system shall be capable of operating with a single-sign-on authentication mechanism based on Active Directory Services or the LDAP standard.( It should be recognized that the Virtis/Opis application authentication/security control approach may need to be revised to accomplish this capability globally in the AASHTO BRIDGEWare software suite.),1,1,1
625,2005_pontis,"23.3 The system shall be capable of showing all screens, menus, user interface controls, prompts, error messages and information notices in native language, with some of these elements customizable.",1,1,0
626,2005_pontis,24.1 The system shall provide an interface to communicate with an external service or third-party software. A set of standard interfaces 25 will be defined for this capability.(25 Web service and SOAP (Simple Object Access Protocol) will likely be used for these interfaces.),1,1,0
627,2005_pontis,"5.1 The software, through its user interface, will clearly identify the product name (Pontis 5.0.x), the licensee, the connected user, and the organization that developed the system (AASHTO). Additional session identification information will be available on demand.27(27 Pontis 4.x Help About and SysInfo windows provide examples.) The overall look and feel of the product will be that of a professional and conservative application.",1,1,1
628,2005_pontis,"5.1 Pontis 5.0 will, at AASHTO’s direction, adopt any elements of the look and feel of other existing AASHTOWare/BRIDGEWare applications where appropriate. In particular, UI conventions from Virtis/Opis will be reviewed to ensure that the Pontis 5.0 does not differ markedly in appearance. AASHTO may designate such model applications and must provide the development team with access to fully-documented style sheets/UI layouts or demonstration software to support this requirement.",1,1,0
629,2005_pontis,5.1 There will be no support for individual personalization of the user interface (skins) other than the vailability of certain features that are tied to a user role (e.g. not all users will have the ability to edit bridge data and thus will not see an “Edit On” button on the corresponding screen).,1,1,0
630,2005_pontis,"5.2 The application should look and feel consistent in the web and standalone operating environments, therefore it will conform to standard .NET standalone and web application conventions with necessary accommodations for the deployment environment only where these prove necessary and appropriate. ",1,1,1
631,2005_pontis,"5.2 The system developer shall consider supporting existing custom forms and reports developed in PowerBuilder 9. It shall decide on a development tool for users so that they can continue to customize Pontis and extend its capability. For example, custom forms and reports created with PowerBuilder 9 may be migrated to a .NET application by using the Sybase DataWindow .NET technology which is available in PowerBuilder 10.",1,1,1
632,2005_pontis,"5.2 Integrating DataWindow .NET is likely a short-term strategy to ease migration of user forms and reports to Pontis 5.0. A stated objective for Pontis 5.0 is eliminating dependency on PowerBuilder. Ideally, the application should not require any particular vendor technology for report or form generation, such as InfoMaker/PowerBuilder, so a sunset plan must be developed to outline a strategy to meet this objective. However, the application shall continue to provide a plug-in capability to integrate third-party .NET data displays and reports in the user workspace.28",1,1,0
633,2005_pontis,"5.3 This section describes general performance requirements for Pontis 5.0, including its capacity (the volume of all types of data that can be stored in the repository) and its speed (the time it takes to execute certain types of operations). 
Some factors that determine the ultimate performance of Pontis are outside the control of this project, and rely instead on decisions and actions of each agency that implements Pontis: 
• The capacity and speed of the commercial RDBMS product used for the data repository; 
• The speed of the servers on which Pontis, the RDBMS, the analytical and other processing engines, and other information resources are installed; 
• The effective speed and congestion levels on the network that connects the servers and client machines running the application; and 
• A standalone database engine will continue to be necessary. Performance objectives for the standalone database should be comparable. 
Some of these factors may make it impossible to achieve the performance requirements for Pontis 5.0 outlined in this section. However, based on our assessment of the existing condition of most agency systems and infrastructure, we think this outcome is unlikely. 
There are selected licensees, typically smaller agencies, who may have much lower powered computer resources, and their performance must be acceptable as well, although not necessarily comparable to larger installations. ",1,1,0
634,2005_pontis,"5.3 Pontis 5.0 is not strictly a transactional application or mission-critical for most capabilities. In light of this, the application shall be available for use 18 hours per day, 353 days per year, reserving 6 hours per day and one day per month for routine agency network and infrastructure maintenance. During normal times of operation, Pontis shall achieve 98 percent up time.",1,1,0
635,2005_pontis,"5.3 Because Pontis 5.0 is not a mission-critical application, there will be no attempt to design or construct the system for uninterrupted operation. Agencies may choose to implement database transaction logging, mirroring, or switchover to backup servers in the event of a hardware or network failure, but support for these decisions or implementation are beyond the scope of Pontis 5.0 effort. Procedures and equipment for backups (database and software) and disaster recovery are also outside the scope of this effort.",1,1,0
636,2005_pontis,"The Pontis application server (ASP.NET) software will run on a server located within a (presumably) secure facility at each agency. Because it is an ASP.NET application, the end users can vary in location depending on the network accessibility of the server. The Pontis database, and any other databases to be accessed from Pontis may be co-located on the same server machine, but at a minimum must be accessible from the Pontis application server via standard database communication and connection protocols. ",1,1,1
637,2005_pontis,"5.4 The server machine will run Windows Server 2003 or, given technology evolution, a descendant target server environment identified in the implementation plan. The server machine must have all necessary software to run an ASP.NET application. This specifically includes, but may not be limited to, IIS 30, the .NET Framework and ASP.NET.(30 The TAG should strongly consider the need to support HTTP/www servers other than IIS. Apache and its variants are the most widely-used web servers on the net and a rich platform to exploit open source capabilities. However, many agencies rely on IIS, so this technology consideration must be resolved as part of the design. Other AASHTOWare products (Trans*port) already vary from the IIS standard.) Other web servers, appliances, and add-in technologies may also be necessary depending on the final application design.",1,1,0
638,2005_pontis,"Back-end server stored procedures and server-side functions will be supported and may be assumed to be usable in the technical design of Pontis 5.0. This will require implementation of the triggers in native DBMS procedural code. This implies that it is very likely that the server-side code will vary for each target DBMS, even if the interfaces remain identical, increasing the development and testing effort with the significant benefit of assigning processing to the appropriate application tier(s).",1,1,0
639,2005_pontis,"Pontis 5.0 will be designed to be used with Internet Explorer; it may work correctly with other browsers but this cannot be guaranteed. Given the predominance of IE in the browser market, it does not appear to be necessary to consider support for other browsers, although this may need to be reconsidered if external customers are running the application(s) and need to employ different browser technology such as Netscape or Mozilla FireFox.",1,1,1
640,2005_pontis,"Standalone capabilities will require a workstation running the latest .NET Framework, presumably Windows XP Professional (SP2) or its successor. Some capabilities may require a network connection. The workstation’s hardware requirements will be similar to those of the existing Pontis 4.4 application. There will continue to be a standalone/runtime database engine provided with the application for offline work. The offline database is assumed to be Sybase Adaptive Server Anywhere release 9 or above.",1,1,1
641,2005_pontis,5.6 No commitment regarding the portability of the code is made other than that implied by the use of standard Microsoft .NET tools and well-documented third- party application libraries or frameworks.,1,0,0
642,2005_pontis,"5.6 Pontis 5.0 in production is intended to be supported through complete and sufficient on-line help and documentation and equivalent printed documentation, with occasional additional assistance provided through the Pontis Support Center. Pontis 5.0 will also continue to provide field-level help where applicable. As with the existing Pontis 4.x product, it is assumed that support will be provided by telephone, via e-mail, and through an on-line issues tracking system.",1,1,1
643,2005_pontis,"It is assumed that authentication will utilize a single sign-on (SSO) approach and application security will be declaratively managed through database or directory entries, rather than hard-wired into the application. This mechanism may have implications for BRIDGEWare/AASHTOWare generally and will need to be coordinated with the other AASHTO products 31. (31 Single sign-on technology is an issue that SCOJD and TAA should address for all AASHTOWare products. It appears that Kerberos is the most common basis, and Microsoft uses Kerberos for its Active Directory Services. Kerberos is also well supported by database vendors.)",1,1,0
644,2005_pontis,"5.7 Database security will need to be insured for the Pontis data stored in the RDBMS; most likely this will be done by using a specific username/password combination and running as particular database roles for each database connection. This security structure should be similar to the existing security approach in Pontis 4.x. For web clients, care will be taken to insure that connection information is not accessible from application pages (e.g., userid/password embedded in HTML form variables).",1,1,0
645,2005_pontis,5.7 There are no specific privacy or immunity (antivirus) requirements for Pontis 5.0 identified at this time.,1,1,0
646,2005_pontis,"5.8 As there are no evident cultural or political application requirements for Pontis 5.0, this section of the Functional Requirements document does not apply for the most part. However, the product likely will be designed for agency/international localization from the ground up with respect to user interface elements, reports, messages, and other application attributes where native language support is necessary. This capability will be usable by all licensing agencies as desired, on an optional basis, to customize the appearance of the product to suit their internal standards. This capability will be analogous to the localization capability of Pontis 4.4 but more comprehensive in scope.",1,1,0
647,2001_hats,"[SRSreq 01] Any operation requiring the user to supply a file name shall allow the user either to select the files from a list derived from files in the currently open application or to key in a file name, a relative path name, or a complete path name.",1,0,0
648,2001_hats,"[SRSreq 02] For any operation where the user is prompted to select from a list, the user shall be able to cancel the operation.",1,0,0
649,2001_hats,"[SRSreq 03]When collecting generated output files from HATS-SML, the HATS-GUI shall overwrite any file whose name is generated automatically. For example, given a transformation language program X.tlp, the file X.tlp.parsed is generated when the parser is executed. If X.tlp.parsed existed prior to executing the parser, it shall be overwritten without prompting the user.",1,0,1
650,2001_hats,"[SRSreq 04] When saving or copying files, the HATS-GUI shall use the following sequence of actions: • The HATS-GUI shall prompt the user for a file name for the file to be saved. • The HATS-GUI shall examine the contents of the application directory. • If a file with the given name already exists, the HATS-GUI shall prompt the user to overwrite the existing file. If the user agrees to overwrite the file, the HATS-GUI shall: o attempt to write the new file using a temporary name, o delete the previously existing file, o then rename the new file. • If the user does not agree to overwrite the existing file or if system errors occur while writing or renaming the new file or deleting the previous file, the new file shall not be written and the previous file shall be left unchanged. • In the case of an error, the HATS-GUI shall notify the user of the error. For example, the user shall be able to save an SDT generated during transformation program execution. If the user specifies the name of an existing file, the existing file is only overwritten after the user confirms that it is permissible to do so.",1,1,0
651,2001_hats,[SRSreq 05] Output pretty-printed text files and SDTs shall only be displayed when the user requests.,1,1,0
652,2001_hats,[SRSreq 06] The main interface shall be menu driven. A summary of the menus available is given below in Table 5. Items in the first row of Table 5 are top-level menu items. Items in following rows are second-level menu items.,1,1,0
653,2001_hats,[SRSreq 07] The File menu shall contain menu items related to manipulating individual files and for closing the HATS-GUI application.,1,0,0
654,2001_hats,[SRSreq 08] The Application menu shall contain items related to manipulating entire applications.,1,0,0
655,2001_hats,[SRSreq 09] The Configure menu shall contain items related to modifying the configuration of the application.,1,0,0
656,2001_hats,[SRSreq 10] The Run menu shall contain items related to executing the HATS-SML programs.,1,0,0
657,2001_hats,[SRSreq 11] The View menu shall contain items related to viewing HATS-SML output.,1,0,0
658,2001_hats,[SRSreq 12] The File/Select menu item shall provide an interface for selecting files within the currently open application.,1,0,0
659,2001_hats,[SRSreq 13] The File/Edit menu item shall provide an interface for starting an editor as an external process. The editor shall be started according to information in the application configuration.,1,0,0
660,2001_hats,[SRSreq 14] The File/Save-as menu item shall provide an interface for saving a previously selected file under a different name.,1,0,0
661,2001_hats,[SRSreq 15] The File/Delete menu item shall provide an interface for deleting a selected file. The HATS-GUI shall prompt the user to confirm deletion prior to completing this action.,1,1,0
662,2001_hats,[SRSreq 16] The File/Exit menu item shall provide an interface for exiting the HATS-GUI.,1,0,0
663,2001_hats,[SRSreq 17] The Application/Select menu item shall provide an interface for selecting and opening an application.,1,0,0
664,2001_hats,[SRSreq 18] The Application/Close menu item shall provide an interface for closing an application.,1,0,0
665,2001_hats,[SRSreq 19] The Application/Save menu item shall provide an interface for saving application configuration information.,1,0,0
666,2001_hats,[SRSreq 20] The Application/Save-as menu item shall provide an interface for saving an application and its associated files under a different name.,1,0,1
667,2001_hats,[SRSreq 21] The Application/Delete menu item shall provide an interface for deleting an application and all the files in the application directory. The HATS-GUI shall prompt the user to confirm deletion prior to completing this action.,1,1,0
668,2001_hats,[SRSreq 22] The Configure/Editors menu item shall provide an interface for the user to enter editor configuration information. This information shall be used when editors are started as processes.,1,0,0
669,2001_hats,[SRSreq 23] The Configure/Node Display menu item shall provide an interface for configuring the display of nodes.,1,0,0
670,2001_hats,[SRSreq 24] The HATS-GUI shall allow the user to specify the number of levels of nodes to expand during SDT viewing.,1,0,0
671,2001_hats,"[SRSreq 25] The HATS-GUI shall allow the user to select the colors for types of displayed nodes in a displayed graph. At a minimum, the system shall provide eight colors (red, yellow, white, black, green, blue, orange, and violet) for displayed nodes.",1,1,0
